# Assembly name:  EquCab2.0
# Organism name:  Equus caballus (horse)
# Infraspecific name:  breed=thoroughbred
# Isolate:  Twilight
# Sex:  female
# Taxid:          9796
# BioSample:      SAMN02953672
# BioProject:     PRJNA18661
# Submitter:      The Genome Assembly Team
# Date:           2007-10-29
# Synonyms:       equCab2	
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AAWR02
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000002305.1
# RefSeq assembly accession: GCF_000002305.2
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000000165.1	GCF_000000165.1	Primary Assembly
## 	GCF_000215765.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
scaffold_186	unplaced-scaffold	na	na	DS498070.1	=	NW_001868403.1	Primary Assembly	263537	na
scaffold_187	unplaced-scaffold	na	na	DS498071.1	=	NW_001868414.1	Primary Assembly	110333	na
scaffold_188	unplaced-scaffold	na	na	DS498072.1	=	NW_001868425.1	Primary Assembly	99007	na
scaffold_189	unplaced-scaffold	na	na	DS498073.1	=	NW_001868436.1	Primary Assembly	99508	na
scaffold_190	unplaced-scaffold	na	na	DS498074.1	=	NW_001868447.1	Primary Assembly	98037	na
scaffold_191	unplaced-scaffold	na	na	DS498075.1	=	NW_001868458.1	Primary Assembly	128471	na
scaffold_192	unplaced-scaffold	na	na	DS498076.1	=	NW_001868469.1	Primary Assembly	265604	na
scaffold_193	unplaced-scaffold	na	na	DS498077.1	=	NW_001868480.1	Primary Assembly	91678	na
scaffold_194	unplaced-scaffold	na	na	DS498078.1	=	NW_001868491.1	Primary Assembly	94690	na
scaffold_195	unplaced-scaffold	na	na	DS498079.1	=	NW_001868502.1	Primary Assembly	119416	na
scaffold_196	unplaced-scaffold	na	na	DS498080.1	=	NW_001868513.1	Primary Assembly	89871	na
scaffold_197	unplaced-scaffold	na	na	DS498081.1	=	NW_001868524.1	Primary Assembly	102099	na
scaffold_198	unplaced-scaffold	na	na	DS498082.1	=	NW_001868535.1	Primary Assembly	99428	na
scaffold_199	unplaced-scaffold	na	na	DS498083.1	=	NW_001868546.1	Primary Assembly	87489	na
scaffold_200	unplaced-scaffold	na	na	DS498084.1	=	NW_001868557.1	Primary Assembly	103693	na
scaffold_201	unplaced-scaffold	na	na	DS498085.1	=	NW_001868568.1	Primary Assembly	243360	na
scaffold_202	unplaced-scaffold	na	na	DS498086.1	=	NW_001868579.1	Primary Assembly	89757	na
scaffold_203	unplaced-scaffold	na	na	DS498087.1	=	NW_001868590.1	Primary Assembly	84307	na
scaffold_205	unplaced-scaffold	na	na	DS498088.1	=	NW_001868612.1	Primary Assembly	93127	na
scaffold_206	unplaced-scaffold	na	na	DS498089.1	=	NW_001868623.1	Primary Assembly	80275	na
scaffold_207	unplaced-scaffold	na	na	DS498090.1	=	NW_001868634.1	Primary Assembly	93266	na
scaffold_208	unplaced-scaffold	na	na	DS498091.1	=	NW_001868645.1	Primary Assembly	93516	na
scaffold_209	unplaced-scaffold	na	na	DS498092.1	=	NW_001868656.1	Primary Assembly	83354	na
scaffold_210	unplaced-scaffold	na	na	DS498093.1	=	NW_001868667.1	Primary Assembly	76978	na
scaffold_211	unplaced-scaffold	na	na	DS498094.1	=	NW_001868678.1	Primary Assembly	86600	na
scaffold_212	unplaced-scaffold	na	na	DS498095.1	=	NW_001868689.1	Primary Assembly	277067	na
scaffold_213	unplaced-scaffold	na	na	DS498096.1	=	NW_001868700.1	Primary Assembly	102709	na
scaffold_214	unplaced-scaffold	na	na	DS498097.1	=	NW_001868711.1	Primary Assembly	78839	na
scaffold_215	unplaced-scaffold	na	na	DS498098.1	=	NW_001868722.1	Primary Assembly	78415	na
scaffold_216	unplaced-scaffold	na	na	DS498099.1	=	NW_001868733.1	Primary Assembly	88931	na
scaffold_217	unplaced-scaffold	na	na	DS498100.1	=	NW_001868744.1	Primary Assembly	79614	na
scaffold_218	unplaced-scaffold	na	na	DS498101.1	=	NW_001868755.1	Primary Assembly	81622	na
scaffold_219	unplaced-scaffold	na	na	DS498102.1	=	NW_001868766.1	Primary Assembly	84604	na
scaffold_220	unplaced-scaffold	na	na	DS498103.1	=	NW_001868777.1	Primary Assembly	252725	na
scaffold_221	unplaced-scaffold	na	na	DS498104.1	=	NW_001868788.1	Primary Assembly	73882	na
scaffold_222	unplaced-scaffold	na	na	DS498105.1	=	NW_001868799.1	Primary Assembly	74873	na
scaffold_223	unplaced-scaffold	na	na	DS498106.1	=	NW_001868810.1	Primary Assembly	70726	na
scaffold_224	unplaced-scaffold	na	na	DS498107.1	=	NW_001868821.1	Primary Assembly	81732	na
scaffold_225	unplaced-scaffold	na	na	DS498108.1	=	NW_001868832.1	Primary Assembly	69703	na
scaffold_226	unplaced-scaffold	na	na	DS498109.1	=	NW_001868843.1	Primary Assembly	74255	na
scaffold_227	unplaced-scaffold	na	na	DS498110.1	=	NW_001868854.1	Primary Assembly	69551	na
scaffold_228	unplaced-scaffold	na	na	DS498111.1	=	NW_001868865.1	Primary Assembly	67958	na
scaffold_229	unplaced-scaffold	na	na	DS498112.1	=	NW_001868876.1	Primary Assembly	93870	na
scaffold_230	unplaced-scaffold	na	na	DS498113.1	=	NW_001868887.1	Primary Assembly	71658	na
scaffold_231	unplaced-scaffold	na	na	DS498114.1	=	NW_001868898.1	Primary Assembly	85952	na
scaffold_232	unplaced-scaffold	na	na	DS498115.1	=	NW_001868909.1	Primary Assembly	68187	na
scaffold_233	unplaced-scaffold	na	na	DS498116.1	=	NW_001868920.1	Primary Assembly	241729	na
scaffold_234	unplaced-scaffold	na	na	DS498117.1	=	NW_001868931.1	Primary Assembly	73454	na
scaffold_235	unplaced-scaffold	na	na	DS498118.1	=	NW_001868942.1	Primary Assembly	81103	na
scaffold_236	unplaced-scaffold	na	na	DS498119.1	=	NW_001868953.1	Primary Assembly	71999	na
scaffold_237	unplaced-scaffold	na	na	DS498120.1	=	NW_001868964.1	Primary Assembly	90373	na
scaffold_238	unplaced-scaffold	na	na	DS498121.1	=	NW_001868975.1	Primary Assembly	93916	na
scaffold_239	unplaced-scaffold	na	na	DS498122.1	=	NW_001868986.1	Primary Assembly	65854	na
scaffold_240	unplaced-scaffold	na	na	DS498123.1	=	NW_001868997.1	Primary Assembly	69115	na
scaffold_241	unplaced-scaffold	na	na	DS498124.1	=	NW_001869008.1	Primary Assembly	95142	na
scaffold_242	unplaced-scaffold	na	na	DS498125.1	=	NW_001869019.1	Primary Assembly	65748	na
scaffold_243	unplaced-scaffold	na	na	DS498126.1	=	NW_001869030.1	Primary Assembly	65839	na
scaffold_244	unplaced-scaffold	na	na	DS498127.1	=	NW_001869041.1	Primary Assembly	65610	na
scaffold_245	unplaced-scaffold	na	na	DS498128.1	=	NW_001869052.1	Primary Assembly	63296	na
scaffold_246	unplaced-scaffold	na	na	DS498129.1	=	NW_001869063.1	Primary Assembly	64676	na
scaffold_247	unplaced-scaffold	na	na	DS498130.1	=	NW_001869074.1	Primary Assembly	75773	na
scaffold_248	unplaced-scaffold	na	na	DS498131.1	=	NW_001869085.1	Primary Assembly	65001	na
scaffold_249	unplaced-scaffold	na	na	DS498132.1	=	NW_001869096.1	Primary Assembly	90801	na
scaffold_251	unplaced-scaffold	na	na	DS498133.1	=	NW_001869118.1	Primary Assembly	62077	na
scaffold_252	unplaced-scaffold	na	na	DS498134.1	=	NW_001869129.1	Primary Assembly	60945	na
scaffold_253	unplaced-scaffold	na	na	DS498135.1	=	NW_001869140.1	Primary Assembly	61927	na
scaffold_254	unplaced-scaffold	na	na	DS498136.1	=	NW_001869151.1	Primary Assembly	88413	na
scaffold_255	unplaced-scaffold	na	na	DS498137.1	=	NW_001869162.1	Primary Assembly	60721	na
scaffold_256	unplaced-scaffold	na	na	DS498138.1	=	NW_001869173.1	Primary Assembly	69141	na
scaffold_257	unplaced-scaffold	na	na	DS498139.1	=	NW_001869184.1	Primary Assembly	64726	na
scaffold_258	unplaced-scaffold	na	na	DS498140.1	=	NW_001869195.1	Primary Assembly	74129	na
scaffold_259	unplaced-scaffold	na	na	DS498141.1	=	NW_001869206.1	Primary Assembly	87599	na
scaffold_260	unplaced-scaffold	na	na	DS498142.1	=	NW_001869217.1	Primary Assembly	69748	na
scaffold_261	unplaced-scaffold	na	na	DS498143.1	=	NW_001869228.1	Primary Assembly	225551	na
scaffold_262	unplaced-scaffold	na	na	DS498144.1	=	NW_001869239.1	Primary Assembly	57142	na
scaffold_264	unplaced-scaffold	na	na	DS498145.1	=	NW_001869261.1	Primary Assembly	57710	na
scaffold_265	unplaced-scaffold	na	na	DS498146.1	=	NW_001869272.1	Primary Assembly	71725	na
scaffold_266	unplaced-scaffold	na	na	DS498147.1	=	NW_001869283.1	Primary Assembly	55388	na
scaffold_267	unplaced-scaffold	na	na	DS498148.1	=	NW_001869294.1	Primary Assembly	54449	na
scaffold_268	unplaced-scaffold	na	na	DS498149.1	=	NW_001869305.1	Primary Assembly	60703	na
scaffold_269	unplaced-scaffold	na	na	DS498150.1	=	NW_001869316.1	Primary Assembly	59988	na
scaffold_270	unplaced-scaffold	na	na	DS498151.1	=	NW_001869327.1	Primary Assembly	71661	na
scaffold_271	unplaced-scaffold	na	na	DS498152.1	=	NW_001869338.1	Primary Assembly	59309	na
scaffold_272	unplaced-scaffold	na	na	DS498153.1	=	NW_001869349.1	Primary Assembly	86595	na
scaffold_273	unplaced-scaffold	na	na	DS498154.1	=	NW_001869360.1	Primary Assembly	63691	na
scaffold_274	unplaced-scaffold	na	na	DS498155.1	=	NW_001869371.1	Primary Assembly	52972	na
scaffold_275	unplaced-scaffold	na	na	DS498156.1	=	NW_001869382.1	Primary Assembly	52480	na
scaffold_276	unplaced-scaffold	na	na	DS498157.1	=	NW_001869393.1	Primary Assembly	66963	na
scaffold_277	unplaced-scaffold	na	na	DS498158.1	=	NW_001869404.1	Primary Assembly	75863	na
scaffold_278	unplaced-scaffold	na	na	DS498159.1	=	NW_001869415.1	Primary Assembly	97799	na
scaffold_279	unplaced-scaffold	na	na	DS498160.1	=	NW_001869426.1	Primary Assembly	68375	na
scaffold_280	unplaced-scaffold	na	na	DS498161.1	=	NW_001869437.1	Primary Assembly	57814	na
scaffold_281	unplaced-scaffold	na	na	DS498162.1	=	NW_001869448.1	Primary Assembly	60130	na
scaffold_282	unplaced-scaffold	na	na	DS498163.1	=	NW_001869459.1	Primary Assembly	54108	na
scaffold_283	unplaced-scaffold	na	na	DS498164.1	=	NW_001869470.1	Primary Assembly	77282	na
scaffold_284	unplaced-scaffold	na	na	DS498165.1	=	NW_001869481.1	Primary Assembly	47663	na
scaffold_285	unplaced-scaffold	na	na	DS498166.1	=	NW_001869492.1	Primary Assembly	48988	na
scaffold_286	unplaced-scaffold	na	na	DS498167.1	=	NW_001869503.1	Primary Assembly	47036	na
scaffold_288	unplaced-scaffold	na	na	DS498168.1	=	NW_001869525.1	Primary Assembly	46890	na
scaffold_289	unplaced-scaffold	na	na	DS498169.1	=	NW_001869536.1	Primary Assembly	62891	na
scaffold_290	unplaced-scaffold	na	na	DS498170.1	=	NW_001869547.1	Primary Assembly	61174	na
scaffold_292	unplaced-scaffold	na	na	DS498171.1	=	NW_001869569.1	Primary Assembly	78515	na
scaffold_293	unplaced-scaffold	na	na	DS498172.1	=	NW_001869580.1	Primary Assembly	74940	na
scaffold_294	unplaced-scaffold	na	na	DS498173.1	=	NW_001869591.1	Primary Assembly	62937	na
scaffold_295	unplaced-scaffold	na	na	DS498174.1	=	NW_001869602.1	Primary Assembly	228828	na
scaffold_296	unplaced-scaffold	na	na	DS498175.1	=	NW_001869613.1	Primary Assembly	53006	na
scaffold_297	unplaced-scaffold	na	na	DS498176.1	=	NW_001869624.1	Primary Assembly	62746	na
scaffold_298	unplaced-scaffold	na	na	DS498177.1	=	NW_001869635.1	Primary Assembly	46053	na
scaffold_299	unplaced-scaffold	na	na	DS498178.1	=	NW_001869646.1	Primary Assembly	43890	na
scaffold_302	unplaced-scaffold	na	na	DS498179.1	=	NW_001869679.1	Primary Assembly	84031	na
scaffold_303	unplaced-scaffold	na	na	DS498180.1	=	NW_001869690.1	Primary Assembly	43119	na
scaffold_304	unplaced-scaffold	na	na	DS498181.1	=	NW_001869701.1	Primary Assembly	42820	na
scaffold_305	unplaced-scaffold	na	na	DS498182.1	=	NW_001869712.1	Primary Assembly	74280	na
scaffold_306	unplaced-scaffold	na	na	DS498183.1	=	NW_001869723.1	Primary Assembly	62246	na
scaffold_307	unplaced-scaffold	na	na	DS498184.1	=	NW_001869734.1	Primary Assembly	47305	na
scaffold_308	unplaced-scaffold	na	na	DS498185.1	=	NW_001869745.1	Primary Assembly	71998	na
scaffold_309	unplaced-scaffold	na	na	DS498186.1	=	NW_001869756.1	Primary Assembly	51249	na
scaffold_310	unplaced-scaffold	na	na	DS498187.1	=	NW_001869767.1	Primary Assembly	43261	na
scaffold_311	unplaced-scaffold	na	na	DS498188.1	=	NW_001869778.1	Primary Assembly	53513	na
scaffold_312	unplaced-scaffold	na	na	DS498189.1	=	NW_001869789.1	Primary Assembly	42106	na
scaffold_313	unplaced-scaffold	na	na	DS498190.1	=	NW_001869800.1	Primary Assembly	63500	na
scaffold_314	unplaced-scaffold	na	na	DS498191.1	=	NW_001869811.1	Primary Assembly	40314	na
scaffold_315	unplaced-scaffold	na	na	DS498192.1	=	NW_001869822.1	Primary Assembly	59441	na
scaffold_316	unplaced-scaffold	na	na	DS498193.1	=	NW_001869833.1	Primary Assembly	47752	na
scaffold_318	unplaced-scaffold	na	na	DS498194.1	=	NW_001869855.1	Primary Assembly	59461	na
scaffold_319	unplaced-scaffold	na	na	DS498195.1	=	NW_001869866.1	Primary Assembly	40196	na
scaffold_321	unplaced-scaffold	na	na	DS498196.1	=	NW_001869888.1	Primary Assembly	42228	na
scaffold_323	unplaced-scaffold	na	na	DS498197.1	=	NW_001869910.1	Primary Assembly	38961	na
scaffold_324	unplaced-scaffold	na	na	DS498198.1	=	NW_001869921.1	Primary Assembly	41876	na
scaffold_326	unplaced-scaffold	na	na	DS498199.1	=	NW_001869943.1	Primary Assembly	48060	na
scaffold_327	unplaced-scaffold	na	na	DS498200.1	=	NW_001869954.1	Primary Assembly	45266	na
scaffold_328	unplaced-scaffold	na	na	DS498201.1	=	NW_001869965.1	Primary Assembly	38622	na
scaffold_329	unplaced-scaffold	na	na	DS498202.1	=	NW_001869976.1	Primary Assembly	39451	na
scaffold_330	unplaced-scaffold	na	na	DS498203.1	=	NW_001869987.1	Primary Assembly	63311	na
scaffold_331	unplaced-scaffold	na	na	DS498204.1	=	NW_001869998.1	Primary Assembly	38404	na
scaffold_332	unplaced-scaffold	na	na	DS498205.1	=	NW_001870009.1	Primary Assembly	46838	na
scaffold_333	unplaced-scaffold	na	na	DS498206.1	=	NW_001870020.1	Primary Assembly	68733	na
scaffold_334	unplaced-scaffold	na	na	DS498207.1	=	NW_001870031.1	Primary Assembly	42792	na
scaffold_335	unplaced-scaffold	na	na	DS498208.1	=	NW_001870042.1	Primary Assembly	53336	na
scaffold_336	unplaced-scaffold	na	na	DS498209.1	=	NW_001870053.1	Primary Assembly	37370	na
scaffold_337	unplaced-scaffold	na	na	DS498210.1	=	NW_001870064.1	Primary Assembly	37840	na
scaffold_338	unplaced-scaffold	na	na	DS498211.1	=	NW_001870075.1	Primary Assembly	36335	na
scaffold_339	unplaced-scaffold	na	na	DS498212.1	=	NW_001870086.1	Primary Assembly	85251	na
scaffold_340	unplaced-scaffold	na	na	DS498213.1	=	NW_001870097.1	Primary Assembly	39226	na
scaffold_341	unplaced-scaffold	na	na	DS498214.1	=	NW_001870108.1	Primary Assembly	35600	na
scaffold_342	unplaced-scaffold	na	na	DS498215.1	=	NW_001870119.1	Primary Assembly	37941	na
scaffold_343	unplaced-scaffold	na	na	DS498216.1	=	NW_001870130.1	Primary Assembly	37029	na
scaffold_344	unplaced-scaffold	na	na	DS498217.1	=	NW_001870141.1	Primary Assembly	35681	na
scaffold_345	unplaced-scaffold	na	na	DS498218.1	=	NW_001870152.1	Primary Assembly	46562	na
scaffold_346	unplaced-scaffold	na	na	DS498219.1	=	NW_001870163.1	Primary Assembly	39623	na
scaffold_347	unplaced-scaffold	na	na	DS498220.1	=	NW_001870174.1	Primary Assembly	37184	na
scaffold_348	unplaced-scaffold	na	na	DS498221.1	=	NW_001870185.1	Primary Assembly	35684	na
scaffold_349	unplaced-scaffold	na	na	DS498222.1	=	NW_001870196.1	Primary Assembly	49857	na
scaffold_350	unplaced-scaffold	na	na	DS498223.1	=	NW_001870207.1	Primary Assembly	34787	na
scaffold_351	unplaced-scaffold	na	na	DS498224.1	=	NW_001870218.1	Primary Assembly	35942	na
scaffold_353	unplaced-scaffold	na	na	DS498225.1	=	NW_001870240.1	Primary Assembly	43552	na
scaffold_354	unplaced-scaffold	na	na	DS498226.1	=	NW_001870251.1	Primary Assembly	46052	na
scaffold_355	unplaced-scaffold	na	na	DS498227.1	=	NW_001870262.1	Primary Assembly	39994	na
scaffold_356	unplaced-scaffold	na	na	DS498228.1	=	NW_001870273.1	Primary Assembly	57071	na
scaffold_358	unplaced-scaffold	na	na	DS498229.1	=	NW_001870295.1	Primary Assembly	41570	na
scaffold_360	unplaced-scaffold	na	na	DS498230.1	=	NW_001870317.1	Primary Assembly	205242	na
scaffold_361	unplaced-scaffold	na	na	DS498231.1	=	NW_001870328.1	Primary Assembly	34895	na
scaffold_362	unplaced-scaffold	na	na	DS498232.1	=	NW_001870339.1	Primary Assembly	36020	na
scaffold_366	unplaced-scaffold	na	na	DS498233.1	=	NW_001870383.1	Primary Assembly	33385	na
scaffold_368	unplaced-scaffold	na	na	DS498234.1	=	NW_001870405.1	Primary Assembly	33539	na
scaffold_369	unplaced-scaffold	na	na	DS498235.1	=	NW_001870416.1	Primary Assembly	33736	na
scaffold_370	unplaced-scaffold	na	na	DS498236.1	=	NW_001870427.1	Primary Assembly	226949	na
scaffold_371	unplaced-scaffold	na	na	DS498237.1	=	NW_001870438.1	Primary Assembly	31972	na
scaffold_373	unplaced-scaffold	na	na	DS498238.1	=	NW_001870460.1	Primary Assembly	31859	na
scaffold_374	unplaced-scaffold	na	na	DS498239.1	=	NW_001870471.1	Primary Assembly	36951	na
scaffold_376	unplaced-scaffold	na	na	DS498240.1	=	NW_001870493.1	Primary Assembly	35149	na
scaffold_378	unplaced-scaffold	na	na	DS498241.1	=	NW_001870515.1	Primary Assembly	30189	na
scaffold_379	unplaced-scaffold	na	na	DS498242.1	=	NW_001870526.1	Primary Assembly	30858	na
scaffold_380	unplaced-scaffold	na	na	DS498243.1	=	NW_001870537.1	Primary Assembly	30002	na
scaffold_382	unplaced-scaffold	na	na	DS498244.1	=	NW_001870559.1	Primary Assembly	30456	na
scaffold_383	unplaced-scaffold	na	na	DS498245.1	=	NW_001870570.1	Primary Assembly	31265	na
scaffold_385	unplaced-scaffold	na	na	DS498246.1	=	NW_001870592.1	Primary Assembly	42479	na
scaffold_386	unplaced-scaffold	na	na	DS498247.1	=	NW_001870603.1	Primary Assembly	39678	na
scaffold_387	unplaced-scaffold	na	na	DS498248.1	=	NW_001870614.1	Primary Assembly	29569	na
scaffold_388	unplaced-scaffold	na	na	DS498249.1	=	NW_001870625.1	Primary Assembly	30024	na
scaffold_389	unplaced-scaffold	na	na	DS498250.1	=	NW_001870636.1	Primary Assembly	28985	na
scaffold_390	unplaced-scaffold	na	na	DS498251.1	=	NW_001870647.1	Primary Assembly	56715	na
scaffold_391	unplaced-scaffold	na	na	DS498252.1	=	NW_001870658.1	Primary Assembly	31598	na
scaffold_392	unplaced-scaffold	na	na	DS498253.1	=	NW_001870669.1	Primary Assembly	41190	na
scaffold_394	unplaced-scaffold	na	na	DS498254.1	=	NW_001870691.1	Primary Assembly	47103	na
scaffold_395	unplaced-scaffold	na	na	DS498255.1	=	NW_001870702.1	Primary Assembly	30640	na
scaffold_397	unplaced-scaffold	na	na	DS498256.1	=	NW_001870724.1	Primary Assembly	50859	na
scaffold_398	unplaced-scaffold	na	na	DS498257.1	=	NW_001870735.1	Primary Assembly	34351	na
scaffold_400	unplaced-scaffold	na	na	DS498258.1	=	NW_001870757.1	Primary Assembly	27455	na
scaffold_403	unplaced-scaffold	na	na	DS498259.1	=	NW_001870790.1	Primary Assembly	44245	na
scaffold_404	unplaced-scaffold	na	na	DS498260.1	=	NW_001870801.1	Primary Assembly	30009	na
scaffold_405	unplaced-scaffold	na	na	DS498261.1	=	NW_001870812.1	Primary Assembly	28887	na
scaffold_406	unplaced-scaffold	na	na	DS498262.1	=	NW_001870823.1	Primary Assembly	27672	na
scaffold_407	unplaced-scaffold	na	na	DS498263.1	=	NW_001870834.1	Primary Assembly	40943	na
scaffold_408	unplaced-scaffold	na	na	DS498264.1	=	NW_001870845.1	Primary Assembly	28046	na
scaffold_409	unplaced-scaffold	na	na	DS498265.1	=	NW_001870856.1	Primary Assembly	28091	na
scaffold_410	unplaced-scaffold	na	na	DS498266.1	=	NW_001870867.1	Primary Assembly	48771	na
scaffold_411	unplaced-scaffold	na	na	DS498267.1	=	NW_001870878.1	Primary Assembly	77837	na
scaffold_414	unplaced-scaffold	na	na	DS498268.1	=	NW_001870911.1	Primary Assembly	37763	na
scaffold_415	unplaced-scaffold	na	na	DS498269.1	=	NW_001870922.1	Primary Assembly	26242	na
scaffold_416	unplaced-scaffold	na	na	DS498270.1	=	NW_001870933.1	Primary Assembly	52680	na
scaffold_419	unplaced-scaffold	na	na	DS498271.1	=	NW_001870966.1	Primary Assembly	41838	na
scaffold_421	unplaced-scaffold	na	na	DS498272.1	=	NW_001870988.1	Primary Assembly	50140	na
scaffold_422	unplaced-scaffold	na	na	DS498273.1	=	NW_001870999.1	Primary Assembly	26646	na
scaffold_425	unplaced-scaffold	na	na	DS498274.1	=	NW_001871032.1	Primary Assembly	209138	na
scaffold_426	unplaced-scaffold	na	na	DS498275.1	=	NW_001871043.1	Primary Assembly	26844	na
scaffold_429	unplaced-scaffold	na	na	DS498276.1	=	NW_001871076.1	Primary Assembly	26412	na
scaffold_433	unplaced-scaffold	na	na	DS498277.1	=	NW_001871120.1	Primary Assembly	26758	na
scaffold_434	unplaced-scaffold	na	na	DS498278.1	=	NW_001871131.1	Primary Assembly	50587	na
scaffold_437	unplaced-scaffold	na	na	DS498279.1	=	NW_001871164.1	Primary Assembly	45975	na
scaffold_438	unplaced-scaffold	na	na	DS498280.1	=	NW_001871175.1	Primary Assembly	24263	na
scaffold_439	unplaced-scaffold	na	na	DS498281.1	=	NW_001871186.1	Primary Assembly	25252	na
scaffold_440	unplaced-scaffold	na	na	DS498282.1	=	NW_001871197.1	Primary Assembly	28554	na
scaffold_441	unplaced-scaffold	na	na	DS498283.1	=	NW_001871208.1	Primary Assembly	41080	na
scaffold_442	unplaced-scaffold	na	na	DS498284.1	=	NW_001871219.1	Primary Assembly	24193	na
scaffold_443	unplaced-scaffold	na	na	DS498285.1	=	NW_001871230.1	Primary Assembly	29113	na
scaffold_445	unplaced-scaffold	na	na	DS498286.1	=	NW_001871252.1	Primary Assembly	29614	na
scaffold_446	unplaced-scaffold	na	na	DS498287.1	=	NW_001871263.1	Primary Assembly	27459	na
scaffold_448	unplaced-scaffold	na	na	DS498288.1	=	NW_001871285.1	Primary Assembly	55324	na
scaffold_449	unplaced-scaffold	na	na	DS498289.1	=	NW_001871296.1	Primary Assembly	25495	na
scaffold_450	unplaced-scaffold	na	na	DS498290.1	=	NW_001871307.1	Primary Assembly	23729	na
scaffold_451	unplaced-scaffold	na	na	DS498291.1	=	NW_001871318.1	Primary Assembly	46606	na
scaffold_452	unplaced-scaffold	na	na	DS498292.1	=	NW_001871329.1	Primary Assembly	23452	na
scaffold_453	unplaced-scaffold	na	na	DS498293.1	=	NW_001871340.1	Primary Assembly	41974	na
scaffold_455	unplaced-scaffold	na	na	DS498294.1	=	NW_001871362.1	Primary Assembly	24856	na
scaffold_456	unplaced-scaffold	na	na	DS498295.1	=	NW_001871373.1	Primary Assembly	23853	na
scaffold_457	unplaced-scaffold	na	na	DS498296.1	=	NW_001871384.1	Primary Assembly	23186	na
scaffold_458	unplaced-scaffold	na	na	DS498297.1	=	NW_001871395.1	Primary Assembly	40568	na
scaffold_459	unplaced-scaffold	na	na	DS498298.1	=	NW_001871406.1	Primary Assembly	43060	na
scaffold_460	unplaced-scaffold	na	na	DS498299.1	=	NW_001871417.1	Primary Assembly	23640	na
scaffold_463	unplaced-scaffold	na	na	DS498300.1	=	NW_001871450.1	Primary Assembly	23495	na
scaffold_465	unplaced-scaffold	na	na	DS498301.1	=	NW_001871472.1	Primary Assembly	26443	na
scaffold_466	unplaced-scaffold	na	na	DS498302.1	=	NW_001871483.1	Primary Assembly	22782	na
scaffold_467	unplaced-scaffold	na	na	DS498303.1	=	NW_001871494.1	Primary Assembly	22919	na
scaffold_468	unplaced-scaffold	na	na	DS498304.1	=	NW_001871505.1	Primary Assembly	23359	na
scaffold_470	unplaced-scaffold	na	na	DS498305.1	=	NW_001871527.1	Primary Assembly	25793	na
scaffold_473	unplaced-scaffold	na	na	DS498306.1	=	NW_001871560.1	Primary Assembly	54076	na
scaffold_474	unplaced-scaffold	na	na	DS498307.1	=	NW_001871571.1	Primary Assembly	27769	na
scaffold_475	unplaced-scaffold	na	na	DS498308.1	=	NW_001871582.1	Primary Assembly	22673	na
scaffold_477	unplaced-scaffold	na	na	DS498309.1	=	NW_001871604.1	Primary Assembly	23252	na
scaffold_479	unplaced-scaffold	na	na	DS498310.1	=	NW_001871626.1	Primary Assembly	24578	na
scaffold_480	unplaced-scaffold	na	na	DS498311.1	=	NW_001871637.1	Primary Assembly	25899	na
scaffold_481	unplaced-scaffold	na	na	DS498312.1	=	NW_001871648.1	Primary Assembly	58815	na
scaffold_483	unplaced-scaffold	na	na	DS498313.1	=	NW_001871670.1	Primary Assembly	24220	na
scaffold_485	unplaced-scaffold	na	na	DS498314.1	=	NW_001871692.1	Primary Assembly	23160	na
scaffold_488	unplaced-scaffold	na	na	DS498315.1	=	NW_001871725.1	Primary Assembly	25286	na
scaffold_489	unplaced-scaffold	na	na	DS498316.1	=	NW_001871736.1	Primary Assembly	45134	na
scaffold_491	unplaced-scaffold	na	na	DS498317.1	=	NW_001871758.1	Primary Assembly	22301	na
scaffold_493	unplaced-scaffold	na	na	DS498318.1	=	NW_001871780.1	Primary Assembly	25215	na
scaffold_494	unplaced-scaffold	na	na	DS498319.1	=	NW_001871791.1	Primary Assembly	22631	na
scaffold_495	unplaced-scaffold	na	na	DS498320.1	=	NW_001871802.1	Primary Assembly	22205	na
scaffold_498	unplaced-scaffold	na	na	DS498321.1	=	NW_001871835.1	Primary Assembly	22150	na
scaffold_499	unplaced-scaffold	na	na	DS498322.1	=	NW_001871846.1	Primary Assembly	20725	na
scaffold_500	unplaced-scaffold	na	na	DS498323.1	=	NW_001871857.1	Primary Assembly	21733	na
scaffold_501	unplaced-scaffold	na	na	DS498324.1	=	NW_001871868.1	Primary Assembly	20608	na
scaffold_504	unplaced-scaffold	na	na	DS498325.1	=	NW_001871901.1	Primary Assembly	21735	na
scaffold_505	unplaced-scaffold	na	na	DS498326.1	=	NW_001871912.1	Primary Assembly	21005	na
scaffold_506	unplaced-scaffold	na	na	DS498327.1	=	NW_001871923.1	Primary Assembly	23015	na
